Filename,Extracted Text,NSFW Label,NSFW Confidence,toxic Speech Label,toxic Speech Confidence
record33.txt,"Осторожно с ботами
Все советы
О сайте
Вечная реклама!
Сайты-Каталоги Telegram
Каталоги в Telegram
Спонсоры
Видеоуроки Telegram
Каналы Telegram • Каталог, советы, идеи, ресурсы… Каталог каналов в Telegram, а также советы, идеи, ресурсы для администраторов и пользователей программой
Каталог каналов
До",non-nsfw,0.93,non-toxic,0.93
record27.txt,"Cantina la Bevuta
Carrello 0
x
Sconto:
Spedizione:
Pagamento:
Tasse (IVA):
Totale: su preventivo
oppure procedi con l'ordine richiedi subito il preventivo
Non ci sono prodotti nel carrello.
Lingua:
Valuta:
British Pound SterlingEuro
I tuoi preferiti
Newsletter
Ordini e Fatture
Cerca
Account
Accedi
C",non-nsfw,1.0,non-toxic,0.88
record26.txt,"﻿ UniDic برای اندروید
تبلیغات
وبلاگ
جستجو ...
بهترین بازی ها بهترین برنامه ها
بازی های اندروید
جدیدترین بازی های اندروید
اکشن مسابقه ای ورزشی استراتژیک هیجان انگیز بدون دیتا کودکانه آفلاین
ریسینگ شبیه سازی فکری کارتی نقش آفرینی ماجراجویی دخترانه آنلاین
برنامه های اندروید
جدیدترین برنامه های اندروید
",non-nsfw,0.55,non-toxic,0.71
record32.txt,"каналы • Каналы Telegram
Все советы
О сайте
Вечная реклама!
Сайты-Каталоги Telegram
Каталоги в Telegram
Спонсоры
Видеоуроки Telegram
Каналы Telegram • Каталог, советы, идеи, ресурсы… Каталог каналов в Telegram, а также советы, идеи, ресурсы для администраторов и пользователей программой
Каталог кана",non-nsfw,0.81,non-toxic,0.95
record6.txt,"Baked Goods: Bread, Cake, Pies, Cookies, Donuts, Muffins Directory - 01webdirectory.com
Search The Directory
Submit URL
Home >> Online Shopping & Services >> Food & Drinks >> Baked Goods
Baked Goods Directory
Categories
Baked Goods
Beverages
Catering
Condiments
Confectionery
Dairy Products
Fish & Se",non-nsfw,1.0,non-toxic,1.0
record4.txt,"Il cnd rescuerxx il trattamento keratin quotidiano significa per trattamento di risposte di unghie - Come guarire una posizione di fungo schiumosa
Skip to content
quello che è un fungo schiumoso e per trattarlo
Main navigation
Il cnd rescuerxx il trattamento keratin quotidiano significa per trattame",non-nsfw,1.0,non-toxic,0.99
record18.txt,"工兵铲藏獒铲多功能德国锰钢户外野营折叠钓鱼兵工铲大号铲子铁锹-蜗牛领券
按Ctrl + D,将蜗牛领券放入收藏夹，优惠券信息一手掌握！

正品好货

人工精选

内部领券

全场包邮
搜索
精选推荐 9块9包邮 20元封顶 我的足迹 优惠直播 我的链接
您的位置：蜗牛领券 > 文体 > 工兵铲藏獒铲多功能德国锰钢户外野营折叠钓鱼兵工铲大号铲子铁锹
包邮工兵铲藏獒铲多功能德国锰钢户外野营折叠钓鱼兵工铲大号铲子铁锹
优惠券即将失效:天时分秒
天猫
现价：¥88 券后价¥68
有效期内领券下单，享受立减优惠！
领券立减20元
锰钢 兵工 工兵 铁锹 铲子
按Ctrl + D加入收藏
最近浏览",non-nsfw,0.95,non-toxic,0.97
record24.txt,"Rimes en o eau ots
retrouvez toutes les rimes de la langue française
Accueil Page facebook
possibilité de fins de mots multiples, exemple : isse ice ysse yce
Les utilisateurs du site, s'en servent pour écrire un poème, écrire un sonnet, l'écriture de chansons
Vous trouvez sur cette page tous les mot",non-nsfw,1.0,non-toxic,1.0
record30.txt,"自転車とスキー　趣味の部屋 2016年12月25日
自転車とスキー　趣味の部屋
自転車とスキーの記録
家族でサイクリング
最近は家族サービスが続いたので、久しぶりに一人で走ろうかと思っていたが、
突然、娘が「久しぶりに自転車に乗ろうかな～」　と言うもので、ならばと
今回も家族サービスに。
More ...
2016.12.25 20:38 | 自転車 | トラックバック(0) | コメント(16) |
Calendar
11 | 2016 / 12 | 01
- - - - 1 2 3
4 5 6 7 8 9 10
11 12 13 14 15 16 17
18 19 20 21 22 23 ",non-nsfw,1.0,non-toxic,1.0
record31.txt,"Минусовки, начинающиеся с буквы 0-9
Минусовки песен и просто музыка
А-Я A-Z
0-9 A B C D E F G H I J K L M N O P Q R S T U V W X Y Z А Б В Г Д Е Ж З И К Л М Н О П Р С Т У Ф Х Ц Ч Ш Э Ю Я
Подождите...
пользователи нашли:
Она Одна (video mix) - Karim ft. Emil IbragimovManowar - Bridge Of Deathda Kookaк",non-nsfw,0.96,non-toxic,0.91
record25.txt,"Aimez-vous le rock ? | Sondage et discussions
FAQ | Contact | S'identifier
Sondages
Culture, Style de vie
Politique & société
Science & High-Tech
Nature et Environnement
Musique
Cinéma et TV
Sports
Religions et Croyances
Littérature et B.D.
Pour rire
Mes Sondages
Création d'un sondage
Fonds d'écran
",non-nsfw,0.99,non-toxic,0.99
record19.txt,"香港铁算盘王中王-铁算盘六合彩神算-4749香港铁算盘-香港铁算盘资料-4238香港铁算盘_香港铁算盘王中王-铁算盘六合彩神算-4749香港铁算盘-香港铁算盘资料-4238香港铁算盘官网
小门户+联盟 ・ 产品网篇
能源频道
燃料油
汽油网
柴油网
MTBE网
液化气
甲醇网
二甲醚
甲醇汽油
动力煤
炼焦煤
焦炭网
化工频道
纯苯网
苯胺网
MDI网
甲苯网
二甲苯
TDI网
苯乙烯
苯酚网
粗苯网
焦化苯
顺酐网
丙烯网
丙酮网
丙烯酸
正丁醇
辛醇网
苯酐网
DOP网
丙烷网
环氧丙烷
环氧氯丙烷
醋酸网
尿素网
三聚氰胺
黄磷网
磷酸网
磷酸二铵
复合肥
电石网
液氯网
煤焦油
乙二醇",non-nsfw,0.79,non-toxic,0.78
record5.txt,"Trattamento di un fungo di unghie il laser in Ivanov - Come trattare otsloyka su unghie
Skip to content
quello che è un fungo schiumoso e per trattarlo
Main navigation
Trattamento di un fungo di unghie il laser in Ivanov
04.03.2018
Unghie incarnite: rimedi casalinghi per curarle senza ricorrere al b",non-nsfw,0.99,non-toxic,0.98
record1.txt,"000 084 - Downloads Free 000 084 - Download 000 084 Software
Home
Categories
New
Popular
Submit
RSS
Contact
false
5
5
5
000 084
Pages: 1 2 3 Freeware Mac
Testkingworld.com is your ultimatel source for the System x High Performance Servers... Details
One of the best and most rewarding features of the",non-nsfw,1.0,non-toxic,1.0
record21.txt,"[Zvevda] - La 5Fn 1944 (15 blanc)
...un forum convivial consacré à toutes les maquettes à l’échelle 1/72ème...
Accueil FAQ Rechercher
Rechercher
Résultats par : Messages Sujets
Recherche avancée
S'enregistrer Connexion
Vous n'êtes pas connecté. Connectez-vous ou enregistrez-vous
1/72 ème
L'expositio",non-nsfw,1.0,non-toxic,1.0
record35.txt,"101.7 The One |
Contact Us
Advertise With Us
Radioplayer
Listen Live
Select a PageContact Us Advertise With Us Radioplayer Listen Live
Home
Closures
Shows
Announcers
The One Morning Show
The One Midday Show
The One Afternoon Show
On Air with Ryan Seacrest
MWO Sports
Music
Recently Played
The Daily S",non-nsfw,1.0,non-toxic,1.0
record34.txt,"7eVeN Days (Club Music) - слушать онлайн бесплатно
7eVeN Days (Club Music) - слушать онлайн бесплатно
Персональное радио
1
Ведущий
RoBBeN34rus
Нет звука?
Найди трек
на сайтах
Расскажи
друзьям
Слушать новинки радио 7eVeN Days (Club Music) бесплатно
Представь - в уши льется пульсирующим потоком музыка",non-nsfw,0.93,non-toxic,0.95
record20.txt,"管家婆中特网_管家婆中特网官网
分享到：
更多
管家婆中特网
| 网站地图
2017博彩送彩金网址
三公扑克牌规则
搜索
搜索你需要的管家婆中特网，寻找属于你自己的方向！ 欢迎加入网上赌搏网站大全投稿和心得交流。
网站分类↑↓
2017博彩送彩金网址
2015-10-16 泉州市旅游工作会议召开 后渚港拟打造古港旅游小镇
2015-10-16 落实委员建议 安徽马鞍山力争消灭4G信号“盲区”
2015-10-16 佛山市南海区人民医院血液透析滤过机招标公告
2015-10-16 导演杨洁去世 她拍的86版《西游记》片酬低到想不到
2015-10-16 滇虹药业创始人周家�i84岁再创业 已获磐",non-nsfw,0.97,non-toxic,0.98
record2.txt,"Sorry this model no exist in webcams online html,body{height:98%}body{background:#cc0000 ;font-family:Arvo, serif;font-size:12px;color:#545454;margin:0;padding:0}h1,h2,h3{text-transform:uppercase;font-weight:300;font-family:Arvo, serif;margin:0;padding:0}h2{font-size:1.5em;padding:0 0 20px}p,ol,ul{m",non-nsfw,1.0,non-toxic,1.0
record36.txt,"101.7 The One |
Contact Us
Advertise With Us
Radioplayer
Listen Live
Select a PageContact Us Advertise With Us Radioplayer Listen Live
Home
Closures
Shows
Announcers
The One Morning Show
The One Midday Show
The One Afternoon Show
On Air with Ryan Seacrest
MWO Sports
Music
Recently Played
The Daily S",non-nsfw,1.0,non-toxic,1.0
record22.txt,IMG_2684[1] (image),non-nsfw,1.0,non-toxic,1.0
record23.txt,"100 porno ~ 100% ПОРНО! - На улице
На сайте 100 porno ~ 100% ПОРНО! - смотреть Порно онлайн На улице. Горячие и молодые девушки в этом разделе 100-porno.wtfdexter.com абсолютно бесплатно покажут для вас не только своим прелести, но и сексуальные умения. Любителям нежной груди и упругих молодых попок",non-nsfw,0.53,toxic,0.57
record37.txt,"Εικονογραφημένες Ιστορίες-Φρουτοπία (Τεύχη 1-6) - Ελληνικά κόμικς - Η ώρα του Παιδιού - File Catalog - 101ο ΔΗΜ.ΣΧΟΛΕΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ
Παρασκευή, 2018-04-20, 10:38 AM
Εγγραφή ως Guest | Ομάδα ""Guests""Καλώς Ήλθες Guest | RSS
101ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ
Αρχική Προφίλ Registration Διαγραφή Εγγραφή",non-nsfw,1.0,non-toxic,1.0
record3.txt,"易正时空 三元风水罗盘的用法（2）
三元风水 神通玄空 家居风水 喜庆择日 起名改名 旺宅安神 转运法事 风水软件 道学法术
新版首页 联系我们 风水软件 繁�w中文
首页 |行业资讯 |风水实证 |超度法事 |风水用品 |藏风得水 |姓名学术 |改运法门 |正说风水 |培训活动 |风水图照 |新浪博客|淘宝店|QQ空间【手机版】
三元风水罗盘的用法（2）
发布者：周钊正 发布时间：2016-10-17 阅读：2325次
双击自动滚屏
三元风水罗盘的用法
罗盘中心第一层 天池和指南针
罗盘是风水师的必备工具，风水师必须对自己的罗盘(法器)非常熟悉并且运用自如。
罗盘的种类很多，常用的有三元盘、",non-nsfw,1.0,non-toxic,1.0
record12.txt,"3D动作手游《饥饿鲨：进化》安卓即将上线 - 欢畅游戏
首页我的欢畅玩家社区
登录注册
注销
网站导航
热门游戏
炸裂骑士团
卡牌 经营
镇魂街:对决
卡牌 策略
3D坦克争霸
策略 射击
街头篮球
竞技
龙族世界
动作
掌趣大家庭
天马时空：www.tianmashikong.com
玩蟹科技：www.playcrab.com
上游网络：www.shanggame.com
动网先锋：www.cndw.com
筑巢新游：www.zcgames.cn
欢瑞世纪：www.hrcp.cn
欢畅游戏：www.gamebean.com
首页
找游戏
发号中心
充值中心
玩家社区
客服中心
您现在的位置：",non-nsfw,0.94,non-toxic,0.99
record13.txt,This domain name has been registered with YouDot.io,non-nsfw,1.0,non-toxic,1.0
record39.txt,"2017 Texas Tech University Fall Commencement Ceremony Times
All The Hits
Listen Now
Home
On Air
Schedule
DJs
Elvis Duran and the Morning Show
Renee
Boleo
Lisa Paige
Listen
Listen Live
Mobile App
Alexa-Enabled Devices
Playlist
Recently Played
Events
Calendar
VIP
Sign Up
Contests & Prizes
Contest Rule",non-nsfw,1.0,non-toxic,1.0
record11.txt,"美國黑金 BlackGold 台灣專賣
客服留言
熱門關鍵字
威而鋼 viagra 壯陽藥 犀利士 cialis 樂威壯 levitra 美國黑金 blackgold 一炮到天亮 卡宴 催情 春藥 壯陽 堅挺 增大 增粗 陰莖 草本 原裝 做愛 持久 偉哥 印度神油 黑螞蟻 生精片 鹿血片 華陀神丹 一想就硬 中醫 三體牛鞭 補腎丸 蒼蠅粉 迷姦 愛神二代 aphrodisiac 瑪卡maca 日本藤素 金偉哥
目錄分類
》男性口服壯陽 (63)
》男性外用持久 (19)
》男性增強粗大 (10)
》女性催情春藥 (21)
性愛知識
六大導致勃起... 880 讚
如果停止性愛... 795 ",non-nsfw,0.56,non-toxic,0.56
record10.txt,"8dgo視訊聊天網
24HR客服專線:02-27654066
帳 號
密 碼
圖片驗證
如果您已經是本中心會員者，請輸入您的帳號及密碼登入。不是會員請先加入會員。您忘記密碼可進入查詢密碼。
COPYRIGHT(C)2006 0509.7540.info ALL RIGHTS RESERVED.
視訊聊天行動裝置APP開放下載
APP使用說明 QR Code說明
iOS版設備需求 :
1. iOS 4.3以上版本
2. iPhone, iPad, iPod touch
Android版設備需求 :
1. ARMv7處理器, 550MHz以上cpu
2. 256MB以上記憶體
3. Android",non-nsfw,0.91,non-toxic,0.92
record38.txt,"101 СЕКРЕТ КРАСОТЫ | Сухая кожа: что делать
x
Найти:
101 СЕКРЕТ КРАСОТЫ
Main menu
Skip to content
Главная
Волосы
Окрашивание
Прически
Стрижки
Уход за волосом
Здоровье
Лицо
Брови и Ресницы
Макияж
Маски для лица
Омоложение
Уход за кожей
Уход за кожей вокруг глаз
Мода
Ногти
Дизайн ногтей
Советы по уход",non-nsfw,0.75,non-toxic,0.86
record8.txt,"Беременность - Вопрос дерматологу - 03 Онлайн
03 Онлайн Задать вопрос Наши врачи Вакансии для врачей Зарабатывай с нами Контакты
Здравствуйте, мы Вас не знаем, авторизируйтесь или зарегистрируйтесь
Главная → Медицинские консультации → Дерматолог
0
Беременность
Спрашивает: Анастасия
Пол: Женский
Возр",non-nsfw,0.75,non-toxic,0.89
record14.txt,"迷惑電話：080から始まる携帯電話番号情報
迷惑電話
⇒ 電話番号から名前と住所の検索　⇒ 名前と地域から住所と電話番号の検索
080から始まる携帯電話番号情報 > 上4桁選択(5009) > 下4桁選択(6084) > 080-5009-6084 > 口コミ情報
080-5009-6084
迷惑電話2017-12-16 17:19:42
この番号の新しい口コミを投稿する
ツイート
090080070 - -
ランダムピックアップ
080-0938-6101 55555 2016-02-26 21:20:29
080-8239-0735 カフェとハンドメイド雑貨のお店 ステッチ 〒69... ",non-nsfw,1.0,non-toxic,1.0
record28.txt,"Европа Плюс Крым 103.7 fm Simferopol - слушать онлайн, скачать бесплатно без смс в mp3 формате на компьютер, на телефон
Музыка Видео
А
Б
В
Г
Д
Е
Ж
З
И
К
Л
М
Н
О
П
Р
С
Т
У
Ф
Х
Ц
Ч
Ш
Э
Ю
Я
A
B
C
D
E
F
G
H
I
J
K
L
M
N
O
P
Q
R
S
T
U
V
W
X
Y
Z
0
1
2
3
4
5
6
7
8
9
Авторизация
Логин
Пароль
Регистрация | За",non-nsfw,0.99,non-toxic,0.98
record29.txt,"一个产品包装有限公司
首页关于我们产品中心客户案例新闻中心联系我们
关于我们
ABOUT US
企业拥有德国W.H.公司柔印机、方底袋、尖底袋、手挽袋制袋机、美国柯达CTP输出设备、德国KBA公司胶印机、全自动模切机、全自动糊盒机等几十台（套）设备。
企业已获得国家《食品用纸包装、容器》（QS）生产许可证、ISO9001:2008国际质量管理体系认证、美国食品和药物管理局（FDA）认证、欧盟（CE）认证、BRC-IOP英国零售商协会包装材料全球标准、FSSC22000 食品安全体系认证。企业拥有18000平方米标准洁净生产车间；与国际最大害虫控制服务供应商之一英国Rentokil Initia",non-nsfw,1.0,non-toxic,1.0
record15.txt,"美国芝加哥国际婚纱礼服贸易展National Bridal Market Chicago_必赢亚洲56.net
您好，欢迎光临必赢亚洲56电子游戏-必赢亚洲56.net！
服务热线 竭诚服务 一路同行010-84898878
必赢亚洲56.net
必赢亚洲56电子游戏
展会查询
www.565.net
外展百科
展会会刊
当前位置：必赢亚洲56.net > 国际展会预订 > 展会预订
美国芝加哥国际婚纱礼服贸易展 预售
展会时间：
2018年03月18日-2018年03月20日
展会官网：
http://www.nationalbridalmarket.com/
展馆名称：
芝加哥商品市场展览",non-nsfw,0.96,non-toxic,0.98
record9.txt,"0485.e-spots.nl » Vacatures » Overig / Diversen - vraag en aanbod in de markt van vandaag -
welkom op 0485.e-spots.nl
www.e-spots.nl
Categorieën:
Agenda / Uitgaan (0)
Antiek (0)
Auto's / Motors (2)
Boeken (0)
CD / DVD / VHS (0)
Computers (0)
Dieren (0)
Electra / Apparaten (0)
Fietsen / Bromfietsen (",non-nsfw,1.0,non-toxic,1.0
record17.txt,"yg老虎机:大桥升级已竣工 商丘古城向南发展日新月异_yg老虎机_yg老虎机_hb老虎机_电子游戏 _斗地主_【官网】
加入收藏 设为首页
站内搜索(标题)
站内搜索(标题)站内搜索(来源)站内搜索(作者)
网站首页
yg老虎机
hb老虎机
电子游戏
yg老虎机
当前位置：首页 > yg老虎机
yg老虎机:大桥升级已竣工 商丘古城向南发展日新月异
时间：2018-4-13 8:10:53 作者： 来源： 浏览：0 评论：0
内容摘要：昨日上午，记者正在商丘古乡北湖景区八闭斋东侧看到，晋级革新后的年夜桥曾经有止人战自止车经由过程。完工后的年夜桥为确保工程量量，北北中间均设置了断绝墩，临时纷歧许可",non-nsfw,0.91,non-toxic,0.93
record16.txt,"供应国产光电元件,国产光电元件供应商
所有信息 产品 供应 求购 企业 行业信息 专项商机
热门搜索关键字:
正在更新....
・如何采购？ ・如何看买家信息？
・如何增加信息的曝光度？
关于我 们 | 联系我们 | 广告服务 | 网站地图 | 诚聘英才 | 网站申明 | 意见投诉 | 帮助中心 | 友情链接
免责声明:本站所展示信息均由企业 自行提供,网络有陷阱交易须谨慎,由此引起的交易纠纷,本站不承担任何责任!
中广芯源旗下网站：中国IC技术交易网≡◆中国IC技术论坛◆≡-电 子技术，半导体知识，设计,版图,制造,工艺,制程,IC资料等 与您共创精彩网络
中华人民共和国信息产业部备案号： ",non-nsfw,1.0,non-toxic,1.0
record48.txt,"台灣性網
24HR客服專線:02-27654066
免費文字聊天區 一對一視訊聊天 / 免費一對多視訊 搜尋主持人：
業績排行 │ 分鐘數排行 │ 本站推薦 │ 本月新人 │ 一對多收費排序 │ 一對一收費排序
恭喜三月份消費排行前十名會員 獲得免費點數~
No.1 LV26451** - 贈點10,000 點 No.2 LV50194** - 贈點9,000 點
No.3 LV 6255** -贈點8,000 點 No.4 LV18778** -贈點7,000 點 No.5 LV50702** -贈點6,000 點 No.6 LV44113** -贈點5,000 點 No.7 LV4946*",non-nsfw,0.99,non-toxic,1.0
record49.txt,"台灣性網
24HR客服專線:02-27654066
免費文字聊天區 一對一視訊聊天 / 免費一對多視訊 搜尋主持人：
業績排行 │ 分鐘數排行 │ 本站推薦 │ 本月新人 │ 一對多收費排序 │ 一對一收費排序
恭喜三月份消費排行前十名會員 獲得免費點數~
No.1 LV26451** - 贈點10,000 點 No.2 LV50194** - 贈點9,000 點
No.3 LV 6255** -贈點8,000 點 No.4 LV18778** -贈點7,000 點 No.5 LV50702** -贈點6,000 點 No.6 LV44113** -贈點5,000 點 No.7 LV4946*",non-nsfw,0.99,non-toxic,1.0
